"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","698","checkAddToCart","Sauce Demo Smoke Test","Fri Nov 28 10:13:57 UTC 2025","passed","Fri Nov 28 10:13:58 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","437","test","Sauce Demo Smoke Test","Fri Nov 28 10:13:49 UTC 2025","passed","Fri Nov 28 10:13:49 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","443","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Nov 28 10:13:50 UTC 2025","passed","Fri Nov 28 10:13:50 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","440","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Nov 28 10:13:52 UTC 2025","passed","Fri Nov 28 10:13:53 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","1470","test","Sauce Demo Smoke Test","Fri Nov 28 10:13:46 UTC 2025","passed","Fri Nov 28 10:13:48 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","1867","checkCheckoutButton","Sauce Demo Smoke Test","Fri Nov 28 10:13:55 UTC 2025","passed","Fri Nov 28 10:13:57 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","466","test","Sauce Demo Smoke Test","Fri Nov 28 10:13:48 UTC 2025","passed","Fri Nov 28 10:13:48 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","586","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Nov 28 10:13:51 UTC 2025","passed","Fri Nov 28 10:13:52 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","661","checkSort","Sauce Demo Smoke Test","Fri Nov 28 10:13:58 UTC 2025","passed","Fri Nov 28 10:13:59 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","441","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Nov 28 10:13:50 UTC 2025","passed","Fri Nov 28 10:13:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
