"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","430","test","Sauce Demo Smoke Test","Fri Jul 25 10:13:19 GMT 2025","passed","Fri Jul 25 10:13:20 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","419","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Jul 25 10:13:24 GMT 2025","passed","Fri Jul 25 10:13:24 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","434","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Jul 25 10:13:21 GMT 2025","passed","Fri Jul 25 10:13:22 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","656","checkAddToCart","Sauce Demo Smoke Test","Fri Jul 25 10:13:38 GMT 2025","passed","Fri Jul 25 10:13:38 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","414","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Jul 25 10:13:22 GMT 2025","passed","Fri Jul 25 10:13:22 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","557","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Jul 25 10:13:23 GMT 2025","passed","Fri Jul 25 10:13:23 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1641","test","Sauce Demo Smoke Test","Fri Jul 25 10:13:17 GMT 2025","passed","Fri Jul 25 10:13:19 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","2597","checkCheckoutButton","Sauce Demo Smoke Test","Fri Jul 25 10:13:35 GMT 2025","passed","Fri Jul 25 10:13:37 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","413","test","Sauce Demo Smoke Test","Fri Jul 25 10:13:20 GMT 2025","passed","Fri Jul 25 10:13:21 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","615","checkSort","Sauce Demo Smoke Test","Fri Jul 25 10:13:39 GMT 2025","passed","Fri Jul 25 10:13:40 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
