"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","660","checkAddToCart","Sauce Demo Smoke Test","Fri Aug 01 10:14:28 GMT 2025","passed","Fri Aug 01 10:14:29 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","616","checkSort","Sauce Demo Smoke Test","Fri Aug 01 10:14:29 GMT 2025","passed","Fri Aug 01 10:14:30 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","399","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Aug 01 10:13:57 GMT 2025","passed","Fri Aug 01 10:13:57 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","389","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Aug 01 10:13:59 GMT 2025","passed","Fri Aug 01 10:13:59 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","961","test","Sauce Demo Smoke Test","Fri Aug 01 10:13:53 GMT 2025","passed","Fri Aug 01 10:13:54 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","399","test","Sauce Demo Smoke Test","Fri Aug 01 10:13:54 GMT 2025","passed","Fri Aug 01 10:13:55 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","2969","checkCheckoutButton","Sauce Demo Smoke Test","Fri Aug 01 10:14:25 GMT 2025","passed","Fri Aug 01 10:14:27 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","396","test","Sauce Demo Smoke Test","Fri Aug 01 10:13:55 GMT 2025","passed","Fri Aug 01 10:13:56 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","510","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Aug 01 10:13:58 GMT 2025","passed","Fri Aug 01 10:13:58 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","413","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Aug 01 10:13:56 GMT 2025","passed","Fri Aug 01 10:13:56 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
