"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","542","test","Sauce Demo Smoke Test","Fri Aug 15 10:12:45 UTC 2025","passed","Fri Aug 15 10:12:45 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","591","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Aug 15 10:12:49 UTC 2025","passed","Fri Aug 15 10:12:49 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","765","checkAddToCart","Sauce Demo Smoke Test","Fri Aug 15 10:12:51 UTC 2025","passed","Fri Aug 15 10:12:52 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","576","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Aug 15 10:12:46 UTC 2025","passed","Fri Aug 15 10:12:46 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","691","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Aug 15 10:12:48 UTC 2025","passed","Fri Aug 15 10:12:48 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","727","checkSort","Sauce Demo Smoke Test","Fri Aug 15 10:12:53 UTC 2025","passed","Fri Aug 15 10:12:53 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","625","test","Sauce Demo Smoke Test","Fri Aug 15 10:12:44 UTC 2025","passed","Fri Aug 15 10:12:44 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","605","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Aug 15 10:12:47 UTC 2025","passed","Fri Aug 15 10:12:47 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1553","test","Sauce Demo Smoke Test","Fri Aug 15 10:12:42 UTC 2025","passed","Fri Aug 15 10:12:43 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","1547","checkCheckoutButton","Sauce Demo Smoke Test","Fri Aug 15 10:12:49 UTC 2025","passed","Fri Aug 15 10:12:51 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
