"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","633","checkSort","Sauce Demo Smoke Test","Fri Jun 27 10:12:24 GMT 2025","passed","Fri Jun 27 10:12:24 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","641","test","Sauce Demo Smoke Test","Fri Jun 27 10:12:10 GMT 2025","passed","Fri Jun 27 10:12:10 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","428","test","Sauce Demo Smoke Test","Fri Jun 27 10:12:12 GMT 2025","passed","Fri Jun 27 10:12:12 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","521","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Jun 27 10:12:14 GMT 2025","passed","Fri Jun 27 10:12:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","654","checkAddToCart","Sauce Demo Smoke Test","Fri Jun 27 10:12:22 GMT 2025","passed","Fri Jun 27 10:12:22 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","437","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Jun 27 10:12:14 GMT 2025","passed","Fri Jun 27 10:12:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","446","test","Sauce Demo Smoke Test","Fri Jun 27 10:12:11 GMT 2025","passed","Fri Jun 27 10:12:11 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","1417","checkCheckoutButton","Sauce Demo Smoke Test","Fri Jun 27 10:12:19 GMT 2025","passed","Fri Jun 27 10:12:20 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","436","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Jun 27 10:12:13 GMT 2025","passed","Fri Jun 27 10:12:13 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","413","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Jun 27 10:12:15 GMT 2025","passed","Fri Jun 27 10:12:16 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
