"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1513","checkCheckoutButton","Sauce Demo Smoke Test","Sun Jun 15 17:34:38 GMT 2025","passed","Sun Jun 15 17:34:40 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","490","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Sun Jun 15 17:34:36 GMT 2025","passed","Sun Jun 15 17:34:37 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","445","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Sun Jun 15 17:34:35 GMT 2025","passed","Sun Jun 15 17:34:35 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","456","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Sun Jun 15 17:34:34 GMT 2025","passed","Sun Jun 15 17:34:34 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","646","checkSort","Sauce Demo Smoke Test","Sun Jun 15 17:34:43 GMT 2025","passed","Sun Jun 15 17:34:44 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","451","test","Sauce Demo Smoke Test","Sun Jun 15 17:34:33 GMT 2025","passed","Sun Jun 15 17:34:33 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","496","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Sun Jun 15 17:34:35 GMT 2025","passed","Sun Jun 15 17:34:36 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","676","checkAddToCart","Sauce Demo Smoke Test","Sun Jun 15 17:34:41 GMT 2025","passed","Sun Jun 15 17:34:42 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","472","test","Sauce Demo Smoke Test","Sun Jun 15 17:34:32 GMT 2025","passed","Sun Jun 15 17:34:32 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","643","test","Sauce Demo Smoke Test","Sun Jun 15 17:34:31 GMT 2025","passed","Sun Jun 15 17:34:31 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
