"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","446","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Jul 18 10:13:17 GMT 2025","passed","Fri Jul 18 10:13:18 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","642","checkSort","Sauce Demo Smoke Test","Fri Jul 18 10:13:40 GMT 2025","passed","Fri Jul 18 10:13:41 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","632","test","Sauce Demo Smoke Test","Fri Jul 18 10:13:15 GMT 2025","passed","Fri Jul 18 10:13:16 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","1421","test","Sauce Demo Smoke Test","Fri Jul 18 10:13:13 GMT 2025","passed","Fri Jul 18 10:13:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","2516","checkCheckoutButton","Sauce Demo Smoke Test","Fri Jul 18 10:13:36 GMT 2025","passed","Fri Jul 18 10:13:38 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","673","checkAddToCart","Sauce Demo Smoke Test","Fri Jul 18 10:13:39 GMT 2025","passed","Fri Jul 18 10:13:40 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","539","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Jul 18 10:13:19 GMT 2025","passed","Fri Jul 18 10:13:19 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","449","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Jul 18 10:13:18 GMT 2025","passed","Fri Jul 18 10:13:18 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","437","test","Sauce Demo Smoke Test","Fri Jul 18 10:13:16 GMT 2025","passed","Fri Jul 18 10:13:17 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","420","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Jul 18 10:13:20 GMT 2025","passed","Fri Jul 18 10:13:20 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
