"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","593","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Jan 23 10:15:47 UTC 2026","passed","Fri Jan 23 10:15:48 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","1671","checkCheckoutButton","Sauce Demo Smoke Test","Fri Jan 23 10:15:43 UTC 2026","passed","Fri Jan 23 10:15:45 UTC 2026","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","637","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Jan 23 10:15:45 UTC 2026","passed","Fri Jan 23 10:15:46 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","519","test","Sauce Demo Smoke Test","Fri Jan 23 10:15:43 UTC 2026","passed","Fri Jan 23 10:15:44 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","test"
"","769","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Jan 23 10:15:46 UTC 2026","passed","Fri Jan 23 10:15:47 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","876","checkSort","Sauce Demo Smoke Test","Fri Jan 23 10:15:47 UTC 2026","passed","Fri Jan 23 10:15:48 UTC 2026","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","891","checkAddToCart","Sauce Demo Smoke Test","Fri Jan 23 10:15:45 UTC 2026","passed","Fri Jan 23 10:15:46 UTC 2026","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","496","test","Sauce Demo Smoke Test","Fri Jan 23 10:15:42 UTC 2026","passed","Fri Jan 23 10:15:43 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","test"
"","589","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Jan 23 10:15:44 UTC 2026","passed","Fri Jan 23 10:15:45 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","1742","test","Sauce Demo Smoke Test","Fri Jan 23 10:15:40 UTC 2026","passed","Fri Jan 23 10:15:42 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","test"
