"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","476","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Oct 31 10:12:53 UTC 2025","passed","Fri Oct 31 10:12:54 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","485","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Oct 31 10:12:52 UTC 2025","passed","Fri Oct 31 10:12:53 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","851","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Oct 31 10:12:54 UTC 2025","passed","Fri Oct 31 10:12:55 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","453","test","Sauce Demo Smoke Test","Fri Oct 31 10:12:51 UTC 2025","passed","Fri Oct 31 10:12:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","909","checkAddToCart","Sauce Demo Smoke Test","Fri Oct 31 10:12:55 UTC 2025","passed","Fri Oct 31 10:12:56 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","667","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Oct 31 10:12:56 UTC 2025","passed","Fri Oct 31 10:12:56 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","1887","checkCheckoutButton","Sauce Demo Smoke Test","Fri Oct 31 10:12:52 UTC 2025","passed","Fri Oct 31 10:12:54 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","433","test","Sauce Demo Smoke Test","Fri Oct 31 10:12:52 UTC 2025","passed","Fri Oct 31 10:12:52 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","725","checkSort","Sauce Demo Smoke Test","Fri Oct 31 10:12:56 UTC 2025","passed","Fri Oct 31 10:12:57 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","1448","test","Sauce Demo Smoke Test","Fri Oct 31 10:12:49 UTC 2025","passed","Fri Oct 31 10:12:50 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
