"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","679","checkSort","Sauce Demo Smoke Test","Fri Dec 12 10:18:24 UTC 2025","passed","Fri Dec 12 10:18:24 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","1","checkCheckoutButton","Sauce Demo Smoke Test","Fri Dec 12 10:17:38 UTC 2025","skipped","Fri Dec 12 10:17:38 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","3538","checkAddToCart","Sauce Demo Smoke Test","Fri Dec 12 10:18:20 UTC 2025","passed","Fri Dec 12 10:18:23 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","482","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Dec 12 10:14:11 UTC 2025","passed","Fri Dec 12 10:14:11 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","457","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Dec 12 10:14:10 UTC 2025","passed","Fri Dec 12 10:14:10 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","2896","test","Sauce Demo Smoke Test","Fri Dec 12 10:14:05 UTC 2025","passed","Fri Dec 12 10:14:08 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","457","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Dec 12 10:14:13 UTC 2025","passed","Fri Dec 12 10:14:13 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","455","test","Sauce Demo Smoke Test","Fri Dec 12 10:14:09 UTC 2025","passed","Fri Dec 12 10:14:09 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","0","setup","Sauce Demo Smoke Test","Fri Dec 12 10:17:38 UTC 2025","broken","Fri Dec 12 10:17:38 UTC 2025","tests.CartTest","Firefox","tests.CartTest","setup"
"","870","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Dec 12 10:14:11 UTC 2025","passed","Fri Dec 12 10:14:12 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","470","test","Sauce Demo Smoke Test","Fri Dec 12 10:14:08 UTC 2025","passed","Fri Dec 12 10:14:09 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
