"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","setup","Sauce Demo Smoke Test","Fri Oct 10 10:16:32 UTC 2025","broken","Fri Oct 10 10:16:32 UTC 2025","tests.CartTest","Firefox","tests.CartTest","setup"
"","414","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Oct 10 10:12:52 UTC 2025","passed","Fri Oct 10 10:12:53 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","8011","checkAddToCart","Sauce Demo Smoke Test","Fri Oct 10 10:17:14 UTC 2025","passed","Fri Oct 10 10:17:22 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","613","checkSort","Sauce Demo Smoke Test","Fri Oct 10 10:17:23 UTC 2025","passed","Fri Oct 10 10:17:23 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","406","test","Sauce Demo Smoke Test","Fri Oct 10 10:12:51 UTC 2025","passed","Fri Oct 10 10:12:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","548","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Oct 10 10:12:53 UTC 2025","passed","Fri Oct 10 10:12:54 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","422","test","Sauce Demo Smoke Test","Fri Oct 10 10:12:50 UTC 2025","passed","Fri Oct 10 10:12:50 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","397","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Oct 10 10:12:54 UTC 2025","passed","Fri Oct 10 10:12:54 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","1440","test","Sauce Demo Smoke Test","Fri Oct 10 10:12:48 UTC 2025","passed","Fri Oct 10 10:12:50 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","410","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Oct 10 10:12:52 UTC 2025","passed","Fri Oct 10 10:12:52 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","1","checkCheckoutButton","Sauce Demo Smoke Test","Fri Oct 10 10:16:32 UTC 2025","skipped","Fri Oct 10 10:16:32 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
