"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","936","test","Sauce Demo Smoke Test","Sun Jun 15 17:25:08 GMT 2025","passed","Sun Jun 15 17:25:08 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","470","test","Sauce Demo Smoke Test","Sun Jun 15 17:25:09 GMT 2025","passed","Sun Jun 15 17:25:10 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","469","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Sun Jun 15 17:25:14 GMT 2025","passed","Sun Jun 15 17:25:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","403","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Sun Jun 15 17:25:12 GMT 2025","passed","Sun Jun 15 17:25:13 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","967","checkAddToCart","Sauce Demo Smoke Test","Sun Jun 15 17:25:11 GMT 2025","passed","Sun Jun 15 17:25:12 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","669","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Sun Jun 15 17:25:11 GMT 2025","passed","Sun Jun 15 17:25:12 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","1346","checkCheckoutButton","Sauce Demo Smoke Test","Sun Jun 15 17:25:08 GMT 2025","passed","Sun Jun 15 17:25:09 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","739","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Sun Jun 15 17:25:13 GMT 2025","passed","Sun Jun 15 17:25:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","911","checkSort","Sauce Demo Smoke Test","Sun Jun 15 17:25:14 GMT 2025","passed","Sun Jun 15 17:25:15 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","414","test","Sauce Demo Smoke Test","Sun Jun 15 17:25:10 GMT 2025","passed","Sun Jun 15 17:25:10 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
