"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","790","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Dec 26 10:13:37 UTC 2025","passed","Fri Dec 26 10:13:37 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","660","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Dec 26 10:13:35 UTC 2025","passed","Fri Dec 26 10:13:36 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","950","checkAddToCart","Sauce Demo Smoke Test","Fri Dec 26 10:13:36 UTC 2025","passed","Fri Dec 26 10:13:37 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","629","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Dec 26 10:13:38 UTC 2025","passed","Fri Dec 26 10:13:38 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","511","test","Sauce Demo Smoke Test","Fri Dec 26 10:13:32 UTC 2025","passed","Fri Dec 26 10:13:33 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","1651","checkCheckoutButton","Sauce Demo Smoke Test","Fri Dec 26 10:13:33 UTC 2025","passed","Fri Dec 26 10:13:35 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","610","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Dec 26 10:13:34 UTC 2025","passed","Fri Dec 26 10:13:35 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","1188","test","Sauce Demo Smoke Test","Fri Dec 26 10:13:31 UTC 2025","passed","Fri Dec 26 10:13:32 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","531","test","Sauce Demo Smoke Test","Fri Dec 26 10:13:33 UTC 2025","passed","Fri Dec 26 10:13:34 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","927","checkSort","Sauce Demo Smoke Test","Fri Dec 26 10:13:37 UTC 2025","passed","Fri Dec 26 10:13:38 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
