"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2617","checkCheckoutButton","Sauce Demo Smoke Test","Fri Jul 11 10:13:34 GMT 2025","passed","Fri Jul 11 10:13:37 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","452","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Jul 11 10:13:23 GMT 2025","passed","Fri Jul 11 10:13:24 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","3221","test","Sauce Demo Smoke Test","Fri Jul 11 10:13:18 GMT 2025","passed","Fri Jul 11 10:13:21 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","420","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Jul 11 10:13:26 GMT 2025","passed","Fri Jul 11 10:13:27 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","427","test","Sauce Demo Smoke Test","Fri Jul 11 10:13:23 GMT 2025","passed","Fri Jul 11 10:13:23 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","668","checkAddToCart","Sauce Demo Smoke Test","Fri Jul 11 10:13:37 GMT 2025","passed","Fri Jul 11 10:13:38 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","692","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Jul 11 10:13:25 GMT 2025","passed","Fri Jul 11 10:13:26 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","661","checkSort","Sauce Demo Smoke Test","Fri Jul 11 10:13:38 GMT 2025","passed","Fri Jul 11 10:13:39 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","429","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Jul 11 10:13:24 GMT 2025","passed","Fri Jul 11 10:13:25 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","721","test","Sauce Demo Smoke Test","Fri Jul 11 10:13:21 GMT 2025","passed","Fri Jul 11 10:13:22 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
