"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","456","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Jun 20 10:12:31 GMT 2025","passed","Fri Jun 20 10:12:31 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","439","test","Sauce Demo Smoke Test","Fri Jun 20 10:12:30 GMT 2025","passed","Fri Jun 20 10:12:31 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","2217","checkCheckoutButton","Sauce Demo Smoke Test","Fri Jun 20 10:12:50 GMT 2025","passed","Fri Jun 20 10:12:52 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","1416","test","Sauce Demo Smoke Test","Fri Jun 20 10:12:27 GMT 2025","passed","Fri Jun 20 10:12:29 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","571","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Jun 20 10:12:33 GMT 2025","passed","Fri Jun 20 10:12:33 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","660","checkAddToCart","Sauce Demo Smoke Test","Fri Jun 20 10:12:53 GMT 2025","passed","Fri Jun 20 10:12:54 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","430","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Jun 20 10:12:34 GMT 2025","passed","Fri Jun 20 10:12:34 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","448","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Jun 20 10:12:32 GMT 2025","passed","Fri Jun 20 10:12:32 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","675","checkSort","Sauce Demo Smoke Test","Fri Jun 20 10:12:56 GMT 2025","passed","Fri Jun 20 10:12:56 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","450","test","Sauce Demo Smoke Test","Fri Jun 20 10:12:29 GMT 2025","passed","Fri Jun 20 10:12:30 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
