"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","416","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Sep 05 10:11:46 UTC 2025","passed","Fri Sep 05 10:11:46 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","640","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Sep 05 10:11:46 UTC 2025","passed","Fri Sep 05 10:11:47 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","407","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Sep 05 10:11:45 UTC 2025","passed","Fri Sep 05 10:11:45 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","2628","checkCheckoutButton","Sauce Demo Smoke Test","Fri Sep 05 10:12:07 UTC 2025","passed","Fri Sep 05 10:12:10 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","630","checkAddToCart","Sauce Demo Smoke Test","Fri Sep 05 10:12:10 UTC 2025","passed","Fri Sep 05 10:12:11 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","615","checkSort","Sauce Demo Smoke Test","Fri Sep 05 10:12:11 UTC 2025","passed","Fri Sep 05 10:12:12 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","398","test","Sauce Demo Smoke Test","Fri Sep 05 10:11:44 UTC 2025","passed","Fri Sep 05 10:11:45 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","1464","test","Sauce Demo Smoke Test","Fri Sep 05 10:11:41 UTC 2025","passed","Fri Sep 05 10:11:43 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","418","test","Sauce Demo Smoke Test","Fri Sep 05 10:11:43 UTC 2025","passed","Fri Sep 05 10:11:44 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","395","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Sep 05 10:11:47 UTC 2025","passed","Fri Sep 05 10:11:48 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
