"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2862","test","Sauce Demo Smoke Test","Fri Oct 24 10:13:46 UTC 2025","passed","Fri Oct 24 10:13:49 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","516","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Oct 24 10:13:54 UTC 2025","passed","Fri Oct 24 10:13:55 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","580","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Oct 24 10:13:52 UTC 2025","passed","Fri Oct 24 10:13:53 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","584","test","Sauce Demo Smoke Test","Fri Oct 24 10:13:50 UTC 2025","passed","Fri Oct 24 10:13:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","616","test","Sauce Demo Smoke Test","Fri Oct 24 10:13:49 UTC 2025","passed","Fri Oct 24 10:13:50 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","497","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Oct 24 10:13:51 UTC 2025","passed","Fri Oct 24 10:13:52 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","729","checkAddToCart","Sauce Demo Smoke Test","Fri Oct 24 10:14:00 UTC 2025","passed","Fri Oct 24 10:14:01 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","844","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Oct 24 10:13:53 UTC 2025","passed","Fri Oct 24 10:13:54 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","2768","checkCheckoutButton","Sauce Demo Smoke Test","Fri Oct 24 10:13:57 UTC 2025","passed","Fri Oct 24 10:14:00 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","689","checkSort","Sauce Demo Smoke Test","Fri Oct 24 10:14:01 UTC 2025","passed","Fri Oct 24 10:14:02 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
