"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","657","checkSort","Sauce Demo Smoke Test","Sun Jun 15 17:29:36 GMT 2025","passed","Sun Jun 15 17:29:36 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","440","test","Sauce Demo Smoke Test","Sun Jun 15 17:29:14 GMT 2025","passed","Sun Jun 15 17:29:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","0","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Sun Jun 15 17:29:16 GMT 2025","skipped","Sun Jun 15 17:29:16 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","470","test","Sauce Demo Smoke Test","Sun Jun 15 17:29:13 GMT 2025","passed","Sun Jun 15 17:29:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","1818","checkCheckoutButton","Sauce Demo Smoke Test","Sun Jun 15 17:29:30 GMT 2025","passed","Sun Jun 15 17:29:32 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","735","test","Sauce Demo Smoke Test","Sun Jun 15 17:29:12 GMT 2025","passed","Sun Jun 15 17:29:13 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","686","checkAddToCart","Sauce Demo Smoke Test","Sun Jun 15 17:29:34 GMT 2025","passed","Sun Jun 15 17:29:34 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","493","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Sun Jun 15 17:29:16 GMT 2025","passed","Sun Jun 15 17:29:17 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","433","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Sun Jun 15 17:29:17 GMT 2025","passed","Sun Jun 15 17:29:17 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","454","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Sun Jun 15 17:29:15 GMT 2025","failed","Sun Jun 15 17:29:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
