"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","740","checkAddToCart","Sauce Demo Smoke Test","Fri Jul 04 10:13:09 GMT 2025","passed","Fri Jul 04 10:13:10 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","418","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Jul 04 10:13:02 GMT 2025","passed","Fri Jul 04 10:13:02 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","418","test","Sauce Demo Smoke Test","Fri Jul 04 10:13:00 GMT 2025","passed","Fri Jul 04 10:13:00 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","684","checkSort","Sauce Demo Smoke Test","Fri Jul 04 10:13:11 GMT 2025","passed","Fri Jul 04 10:13:12 GMT 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","409","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Jul 04 10:13:04 GMT 2025","passed","Fri Jul 04 10:13:04 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","434","test","Sauce Demo Smoke Test","Fri Jul 04 10:12:59 GMT 2025","passed","Fri Jul 04 10:13:00 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","1979","checkCheckoutButton","Sauce Demo Smoke Test","Fri Jul 04 10:13:06 GMT 2025","passed","Fri Jul 04 10:13:08 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","423","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Jul 04 10:13:01 GMT 2025","passed","Fri Jul 04 10:13:01 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","598","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Jul 04 10:13:03 GMT 2025","passed","Fri Jul 04 10:13:03 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1761","test","Sauce Demo Smoke Test","Fri Jul 04 10:12:57 GMT 2025","passed","Fri Jul 04 10:12:59 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
