"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","634","checkSort","Sauce Demo Smoke Test","Fri Aug 22 10:12:30 UTC 2025","passed","Fri Aug 22 10:12:30 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","1360","test","Sauce Demo Smoke Test","Fri Aug 22 10:12:15 UTC 2025","passed","Fri Aug 22 10:12:16 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","655","checkAddToCart","Sauce Demo Smoke Test","Fri Aug 22 10:12:28 UTC 2025","passed","Fri Aug 22 10:12:29 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","580","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Aug 22 10:12:20 UTC 2025","passed","Fri Aug 22 10:12:20 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","2003","checkCheckoutButton","Sauce Demo Smoke Test","Fri Aug 22 10:12:26 UTC 2025","passed","Fri Aug 22 10:12:28 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","395","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Aug 22 10:12:20 UTC 2025","passed","Fri Aug 22 10:12:21 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","424","test","Sauce Demo Smoke Test","Fri Aug 22 10:12:16 UTC 2025","passed","Fri Aug 22 10:12:17 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","435","test","Sauce Demo Smoke Test","Fri Aug 22 10:12:17 UTC 2025","passed","Fri Aug 22 10:12:18 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","408","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Aug 22 10:12:19 UTC 2025","passed","Fri Aug 22 10:12:19 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","438","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Aug 22 10:12:18 UTC 2025","passed","Fri Aug 22 10:12:18 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
