"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","546","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Jan 30 10:23:31 UTC 2026","passed","Fri Jan 30 10:23:32 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1300","test","Sauce Demo Smoke Test","Fri Jan 30 10:23:26 UTC 2026","passed","Fri Jan 30 10:23:28 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","test"
"","446","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Jan 30 10:23:31 UTC 2026","passed","Fri Jan 30 10:23:31 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","449","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Jan 30 10:23:30 UTC 2026","passed","Fri Jan 30 10:23:30 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","425","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Jan 30 10:23:32 UTC 2026","passed","Fri Jan 30 10:23:33 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","436","test","Sauce Demo Smoke Test","Fri Jan 30 10:23:29 UTC 2026","passed","Fri Jan 30 10:23:29 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","test"
"","0","setup","Sauce Demo Smoke Test","Fri Jan 30 10:26:59 UTC 2026","broken","Fri Jan 30 10:26:59 UTC 2026","tests.CartTest","Firefox","tests.CartTest","setup"
"","650","checkSort","Sauce Demo Smoke Test","Fri Jan 30 10:27:45 UTC 2026","passed","Fri Jan 30 10:27:46 UTC 2026","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","0","checkCheckoutButton","Sauce Demo Smoke Test","Fri Jan 30 10:26:59 UTC 2026","skipped","Fri Jan 30 10:26:59 UTC 2026","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","450","test","Sauce Demo Smoke Test","Fri Jan 30 10:23:28 UTC 2026","passed","Fri Jan 30 10:23:29 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","test"
"","4261","checkAddToCart","Sauce Demo Smoke Test","Fri Jan 30 10:27:41 UTC 2026","passed","Fri Jan 30 10:27:45 UTC 2026","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
