"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2207","checkCheckoutButton","Sauce Demo Smoke Test","Fri Nov 14 10:14:27 UTC 2025","passed","Fri Nov 14 10:14:29 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","544","test","Sauce Demo Smoke Test","Fri Nov 14 10:14:19 UTC 2025","passed","Fri Nov 14 10:14:20 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","691","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Nov 14 10:14:22 UTC 2025","passed","Fri Nov 14 10:14:23 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1544","test","Sauce Demo Smoke Test","Fri Nov 14 10:14:17 UTC 2025","passed","Fri Nov 14 10:14:18 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","655","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Nov 14 10:14:20 UTC 2025","passed","Fri Nov 14 10:14:21 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","536","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Nov 14 10:14:23 UTC 2025","passed","Fri Nov 14 10:14:24 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","568","test","Sauce Demo Smoke Test","Fri Nov 14 10:14:19 UTC 2025","passed","Fri Nov 14 10:14:19 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","773","checkAddToCart","Sauce Demo Smoke Test","Fri Nov 14 10:14:30 UTC 2025","passed","Fri Nov 14 10:14:31 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
"","790","checkSort","Sauce Demo Smoke Test","Fri Nov 14 10:14:31 UTC 2025","passed","Fri Nov 14 10:14:32 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","527","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Nov 14 10:14:21 UTC 2025","passed","Fri Nov 14 10:14:22 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
